timestamp,value,type
1588806000,93.05,airhumidity
1588809600,95,airhumidity
1588813200,96.7,airhumidity
1588816800,95.5,airhumidity
1588820400,93.8,airhumidity
1588824000,92.25,airhumidity
1588827600,95.25,airhumidity
1588831200,92.7,airhumidity
1588834800,83.15,airhumidity
1588838400,70.25,airhumidity
1588842000,57.6,airhumidity
1588845600,47.95,airhumidity
1588849200,46.35,airhumidity
1588852800,42.2,airhumidity
1588856400,40.9,airhumidity
1588860000,41.05,airhumidity
1588863600,40.45,airhumidity
1588867200,42.85,airhumidity
1588870800,44.45,airhumidity
1588874400,45.65,airhumidity
1588878000,52.75,airhumidity
1588881600,71.85,airhumidity
1588885200,84.95,airhumidity
1588888800,90.5,airhumidity
1588892400,93.7,airhumidity
1588896000,94.3,airhumidity
1588899600,93.8,airhumidity
1588903200,95.3,airhumidity
1588906800,94.6,airhumidity
1588910400,95.7,airhumidity
1588914000,97.4,airhumidity
1588917600,95.6666666666667,airhumidity
1588921200,76.9,airhumidity
1588924800,65.65,airhumidity
1588928400,60.55,airhumidity
1588932000,48.9,airhumidity
1588935600,36.4,airhumidity
1588939200,38,airhumidity
1588942800,43.95,airhumidity
1588946400,45.4,airhumidity
1588950000,49.25,airhumidity
1588953600,52.5,airhumidity
1588957200,57.2,airhumidity
1588960800,60.5,airhumidity
1588964400,69.8,airhumidity
1588968000,85.2,airhumidity
1588971600,83.3,airhumidity
1588975200,81.4,airhumidity
1588978800,74.3,airhumidity
1588982400,86.2,airhumidity
1588986000,91.45,airhumidity
1588989600,89.2,airhumidity
1588993200,87.3,airhumidity
1588996800,90.65,airhumidity
1589000400,89.5,airhumidity
1589004000,84.4,airhumidity
1589007600,66,airhumidity
1589011200,52.8,airhumidity
1589014800,39.45,airhumidity
1589018400,32.75,airhumidity
1589022000,30.75,airhumidity
1589025600,28.75,airhumidity
1589029200,30.4,airhumidity
1589032800,28.9,airhumidity
1589036400,38.55,airhumidity
1589040000,39.55,airhumidity
1589043600,42.7,airhumidity
1589047200,45.8,airhumidity
1589050800,57.25,airhumidity
1589054400,77.25,airhumidity
1589058000,87.55,airhumidity
1589061600,90.1,airhumidity
1589065200,92.9,airhumidity
1589068800,92.4666666666667,airhumidity
1589072400,83.8,airhumidity
1589076000,82.85,airhumidity
1589079600,88.9,airhumidity
1589083200,90.55,airhumidity
1589086800,90.05,airhumidity
1589090400,80.15,airhumidity
1589094000,66,airhumidity
1589097600,51.7,airhumidity
1589101200,40.25,airhumidity
1589104800,42.75,airhumidity
1589108400,38.8,airhumidity
1589112000,37.1,airhumidity
1589115600,41.2,airhumidity
1589119200,45.3,airhumidity
1589122800,40.7,airhumidity
1589126400,43.9,airhumidity
1589130000,45.25,airhumidity
1589133600,56.2,airhumidity
1589137200,55.6,airhumidity
1589140800,71.45,airhumidity
1589144400,84.3,airhumidity
1589148000,86.45,airhumidity
1589151600,93.75,airhumidity
1589155200,89.45,airhumidity
1589158800,89.45,airhumidity
1589162400,90.5,airhumidity
1589166000,89.65,airhumidity
1589169600,89.45,airhumidity
1589173200,90.4,airhumidity
1589176800,92.1,airhumidity
1589180400,87.35,airhumidity
1589184000,73.15,airhumidity
1589187600,61.65,airhumidity
1589191200,57.85,airhumidity
1589194800,53.85,airhumidity
1589198400,49.35,airhumidity
1589202000,47.2,airhumidity
1589205600,58.15,airhumidity
1589209200,59.2,airhumidity
1589212800,70.55,airhumidity
1589216400,64.5,airhumidity
1589220000,69.95,airhumidity
1589223600,75.5,airhumidity
1589227200,80.2,airhumidity
1589230800,77.35,airhumidity
1589234400,70.9,airhumidity
1589238000,73.15,airhumidity
1589241600,85.2,airhumidity
1589245200,82.65,airhumidity
1589248800,72.55,airhumidity
1589252400,74.2,airhumidity
1589256000,77.2,airhumidity
1589259600,77.75,airhumidity
1589263200,72.75,airhumidity
1589266800,69.25,airhumidity
1589270400,68.4,airhumidity
1589274000,63.55,airhumidity
1589277600,63,airhumidity
1589281200,60.65,airhumidity
1589284800,57,airhumidity
